発表日,芦屋,宝塚,伊丹,加古川,加東,中播磨,龍野,赤穂,豊岡,朝来,丹波,洲本,神戸,姫路,尼崎,西宮,明石,計
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-06,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-03-08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2020-03-09,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4
2020-03-10,0,0,1,0,1,0,0,0,0,0,0,0,2,2,2,1,0,9
2020-03-11,2,2,1,0,1,0,0,0,0,0,0,0,3,2,1,0,0,12
2020-03-12,0,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
2020-03-13,0,1,2,1,0,0,0,0,0,0,0,0,6,0,0,0,0,10
2020-03-14,2,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
2020-03-15,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11
2020-03-16,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4
2020-03-17,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
2020-03-18,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-03-19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2020-03-20,0,2,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8
2020-03-21,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
2020-03-22,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
2020-03-23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
2020-03-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3
2020-03-28,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,7
2020-03-30,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2020-03-31,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,11
2020-04-01,0,2,4,2,0,0,0,0,0,0,0,0,2,2,1,0,1,14
2020-04-02,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,7
2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,6
2020-04-04,2,0,2,1,0,0,0,0,0,0,0,0,2,0,2,5,1,15
2020-04-05,2,1,2,3,0,0,0,0,0,0,0,0,4,1,0,0,0,13
2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
2020-04-07,2,0,1,1,0,0,0,0,0,0,0,0,3,1,3,8,1,20
2020-04-08,0,5,2,3,0,0,0,0,0,0,0,0,6,0,0,3,0,19
2020-04-09,5,1,4,3,2,0,0,0,0,0,0,0,19,1,3,1,0,39
2020-04-10,1,3,4,0,1,0,0,0,0,0,0,1,13,2,1,3,0,29
2020-04-11,1,0,4,3,0,0,0,0,0,0,0,0,23,2,5,3,1,42
2020-04-12,0,4,3,0,2,0,0,0,0,0,0,0,8,0,0,0,0,17
2020-04-13,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,9
2020-04-14,1,1,3,0,0,0,0,0,0,0,0,0,10,0,1,2,1,19
2020-04-15,0,1,6,5,1,0,0,0,0,0,0,0,3,0,1,3,0,20
2020-04-16,3,1,2,3,0,0,0,0,0,0,0,1,16,0,2,2,1,31
2020-04-17,0,3,7,0,0,0,0,0,0,0,0,0,9,1,2,4,1,27
2020-04-18,0,1,0,0,0,0,0,0,0,0,0,0,13,1,5,1,0,21
2020-04-19,1,1,1,1,0,0,0,0,0,0,0,0,5,1,0,1,0,11
2020-04-20,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,2,2,11
2020-04-21,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,3,0,19
2020-04-22,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,1,3,17
2020-04-23,1,0,0,2,0,0,0,0,0,0,0,0,12,2,0,1,2,20
2020-04-24,0,3,1,0,0,0,0,0,0,0,0,0,17,0,1,2,1,25
2020-04-25,0,0,2,0,0,0,0,0,0,0,0,2,5,0,1,3,2,15
2020-04-26,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,2,1,9
2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-04-28,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7
2020-04-29,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,6
2020-04-30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3
2020-05-01,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5
2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4
2020-05-03,1,0,5,1,0,0,0,0,0,0,0,0,4,0,1,0,0,12
2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,6
2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2020-05-07,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2020-05-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-05-09,0,1,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,8
2020-05-10,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,5
2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2020-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2020-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-07-01,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2020-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-07-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
2020-07-06,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
2020-07-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-07-08,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2020-07-10,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,4
2020-07-11,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
2020-07-12,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6
2020-07-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-07-14,0,1,3,0,0,0,0,0,0,0,1,0,1,0,1,2,0,9
2020-07-15,0,1,2,0,0,0,0,0,0,0,0,0,4,4,1,0,0,12
2020-07-16,0,4,4,0,0,0,0,0,0,0,0,0,3,1,0,5,0,17
2020-07-17,1,2,5,1,0,0,0,0,0,0,0,0,7,1,0,7,0,24
2020-07-18,1,2,0,0,1,0,0,1,0,0,0,0,6,1,0,1,0,13
2020-07-19,0,1,0,1,0,0,0,0,0,0,0,0,9,1,5,2,2,21
2020-07-20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,7
2020-07-21,0,2,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,12
2020-07-22,1,0,6,0,1,0,1,3,0,0,0,0,9,3,3,3,0,30
2020-07-23,4,2,0,1,0,0,0,0,0,0,0,0,16,2,4,6,0,35
2020-07-24,1,2,4,0,0,0,0,0,0,0,0,0,4,2,7,2,1,23
2020-07-25,1,1,0,1,0,0,0,0,0,0,1,0,7,0,0,12,1,24
2020-07-26,2,3,4,1,1,0,0,0,0,0,0,0,16,2,11,8,1,49
2020-07-27,0,0,2,0,0,1,0,0,0,0,0,0,4,0,2,3,0,12
2020-07-28,0,1,6,1,2,2,0,1,0,0,0,0,11,0,4,3,2,33
2020-07-29,0,0,5,1,4,0,1,0,0,0,0,1,16,3,8,7,0,46
2020-07-30,2,2,3,4,4,1,1,1,0,0,3,1,12,2,10,5,2,53
2020-07-31,1,3,2,12,1,0,0,0,0,0,1,0,18,3,5,16,0,62
2020-08-01,2,1,1,2,0,0,0,0,0,1,0,0,12,3,7,3,0,32
2020-08-02,9,2,5,5,0,0,0,0,0,0,0,0,9,6,12,12,0,60
2020-08-03,0,0,0,1,0,0,0,0,0,0,0,0,9,0,5,12,0,27
2020-08-04,7,0,4,2,1,0,0,0,0,0,0,0,8,1,2,4,3,32
2020-08-05,1,9,4,4,1,0,0,0,0,1,0,1,15,4,1,8,3,52
2020-08-06,4,9,2,1,1,0,1,1,0,0,0,1,21,3,7,8,2,61
2020-08-07,2,2,4,3,2,0,0,0,0,1,0,0,18,3,5,7,2,49
2020-08-08,2,6,1,1,1,0,0,0,0,3,0,0,23,2,10,6,0,55
2020-08-09,1,3,3,0,0,0,2,0,0,0,0,0,18,1,17,2,1,48
2020-08-10,0,0,1,0,0,0,1,0,0,0,0,0,17,0,0,5,2,26
2020-08-11,0,2,1,0,0,0,0,0,0,1,0,0,16,0,6,3,1,30
2020-08-12,1,0,2,0,0,0,0,0,0,0,0,0,21,1,7,1,3,36
2020-08-13,0,8,6,0,1,0,0,0,0,2,0,0,18,1,6,3,3,48
2020-08-14,1,2,1,2,0,0,0,0,0,0,0,0,15,1,3,5,3,33
2020-08-15,1,7,6,1,2,0,0,0,0,0,0,0,23,0,6,4,3,53
2020-08-16,2,4,2,1,0,1,0,1,0,0,0,0,11,0,3,7,5,37
2020-08-17,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,1,4,24
2020-08-18,0,0,1,1,0,0,0,1,0,0,0,0,16,0,3,1,2,25
2020-08-19,0,3,5,2,2,0,1,0,0,0,0,0,15,2,8,3,8,49
2020-08-20,2,2,2,1,3,0,1,1,0,0,0,0,11,0,5,5,1,34
2020-08-21,1,1,1,3,6,0,0,0,0,0,1,1,11,0,6,4,4,39
2020-08-22,1,3,2,3,2,0,0,1,0,0,0,5,5,3,4,2,2,33
2020-08-23,1,0,1,0,2,0,0,0,0,0,0,0,10,2,6,2,0,24
2020-08-24,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,8
2020-08-25,0,0,2,0,1,0,0,0,0,0,0,0,9,2,5,2,2,23
2020-08-26,1,4,1,0,1,0,0,0,0,0,0,0,5,6,3,5,2,28
2020-08-27,0,1,2,0,0,0,0,0,1,0,0,0,11,1,2,3,1,22
2020-08-28,1,1,1,0,1,0,0,0,2,0,0,0,8,0,8,3,1,26
2020-08-29,0,2,2,0,0,0,0,0,0,0,0,1,7,0,6,2,0,20
2020-08-30,0,2,1,0,0,0,0,0,0,0,0,0,6,2,1,1,0,13
2020-08-31,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,8
2020-09-01,0,3,3,1,1,0,0,0,0,0,1,2,6,0,0,4,0,21
2020-09-02,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,7
2020-09-03,0,1,0,2,0,0,0,0,0,0,0,0,6,0,2,1,1,13
2020-09-04,0,1,2,1,0,0,0,0,0,0,0,0,2,0,3,4,0,13
2020-09-05,0,1,1,1,1,0,0,0,0,0,0,0,4,1,0,0,0,9
2020-09-06,0,2,2,0,0,0,1,0,0,0,0,0,4,3,1,3,0,16
2020-09-07,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,6
2020-09-08,0,1,1,0,0,0,2,0,0,0,0,0,7,1,5,0,1,18
2020-09-09,1,0,5,0,0,0,0,0,0,0,0,0,5,4,5,1,1,22
2020-09-10,0,0,5,0,0,0,1,0,0,0,0,1,3,0,5,5,1,21
2020-09-11,0,2,0,0,0,0,0,0,0,0,0,0,5,1,5,1,0,14
2020-09-12,0,3,2,0,0,0,0,0,0,0,0,0,9,0,2,4,0,20
2020-09-13,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,15
2020-09-14,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,8
2020-09-15,0,0,1,0,0,0,0,0,0,0,0,2,3,5,9,1,2,23
2020-09-16,0,5,0,1,0,0,0,0,0,0,0,0,4,2,5,2,1,20
2020-09-17,1,1,3,0,0,0,0,0,0,0,0,2,3,1,2,2,1,16
2020-09-18,1,1,1,0,0,0,0,0,0,0,0,1,3,0,3,1,1,12
2020-09-19,0,0,2,0,0,0,1,0,0,0,0,0,9,1,6,1,1,21
2020-09-20,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,5
2020-09-21,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,2,1,27
2020-09-22,0,1,2,0,0,0,0,0,0,0,0,0,9,0,0,1,0,13
2020-09-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-09-24,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,2,0,8
2020-09-25,0,0,1,0,1,0,0,0,0,0,0,1,3,3,1,2,0,12
2020-09-26,0,0,0,1,1,0,0,0,0,0,0,0,5,1,4,8,2,22
2020-09-27,0,1,1,0,0,0,2,0,0,0,0,0,1,1,2,2,6,16
2020-09-28,0,0,0,1,0,0,2,0,0,0,0,0,4,2,1,0,0,10
2020-09-29,0,1,2,0,2,0,0,0,0,0,0,0,4,7,2,0,0,18
2020-09-30,0,3,3,1,2,0,0,0,0,0,0,0,2,1,1,2,0,15
2020-10-01,0,1,0,0,0,0,2,0,0,0,0,0,6,3,4,5,0,21
2020-10-02,0,3,1,0,0,0,0,0,0,0,0,0,17,1,5,2,0,29
2020-10-03,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,1,0,15
2020-10-04,0,0,2,0,0,0,0,0,0,0,0,0,10,0,3,0,0,15
2020-10-05,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,7
2020-10-06,0,2,0,0,1,0,3,0,0,0,0,0,6,3,1,1,1,18
2020-10-07,0,1,2,0,0,0,0,0,0,0,0,0,8,1,1,1,2,16
2020-10-08,0,1,0,0,0,0,0,0,0,0,0,0,10,9,2,2,3,27
2020-10-09,0,0,1,1,1,0,0,0,0,0,0,0,4,4,2,3,0,16
2020-10-10,0,0,0,0,2,0,0,0,0,0,0,0,5,1,3,0,1,12
2020-10-11,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,2,12
2020-10-12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,8
2020-10-13,0,2,0,1,0,0,1,0,0,0,0,0,6,2,0,1,1,14
2020-10-14,1,0,2,0,0,0,0,0,0,0,0,0,10,2,4,0,0,19
2020-10-15,0,0,0,1,1,0,0,0,0,0,0,0,9,2,1,0,0,14
2020-10-16,1,2,2,0,2,0,0,0,0,0,0,0,9,1,0,1,0,18
2020-10-17,0,0,2,1,0,0,0,1,0,0,0,0,9,1,1,2,0,17
2020-10-18,0,1,1,2,0,0,0,0,0,0,0,0,5,3,1,0,0,13
計,93,209,261,115,71,6,25,15,3,9,9,32,1114,200,368,358,120,3008
